Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
A,Agilent Technologies Inc.,Healthcare,145.56,0.006161607,0.048888889,0.075507965,0.908528929,43211.00163,34.9603573,0.21683268,0.845640768,151.58,96.64
AAPL,Apple Inc,Technology,170.85,0.005618964,0.043478261,N/A,0.956263774,2660327.259,26.36258221,0.148950744,1.073067387,199.11,154.54
ABM,ABM Industries Inc.,Industrials,43.78,0.020557332,0.022727273,0.045639553,0.87809571,2764.572021,10.73203424,0.223434023,1.124525594,52.78,37.21
ABR,Arbor Realty Trust Inc.,Real Estate,12.94,0.132921175,0.075,0.081967191,1.633145475,2431.717906,7.367390985,1.081553295,1.609394919,16.21,8.93
ABT,Abbott Laboratories,Healthcare,110.01,0.019998182,0.078431373,0.114403692,2.064646656,191859.3268,33.5242577,0.631390415,0.439364814,121.64,89.24
ACN,Accenture plc,Technology,333.82,0.015457432,0.151785714,N/A,4.793919931,226267.3379,32.1801887,0.435019957,1.03197985,387.51,258.71
ADC,Agree Realty Corp.,Real Estate,56.08,0.054208274,0,0.010872121,2.867500921,5610.990396,34.61074654,1.686765248,0.5907313,67,51.82
ADI,Analog Devices Inc.,Technology,190.63,0.019304412,0.069767442,0.112445679,3.451957104,95963.18611,34.07986915,0.616420911,1.325078458,200.87,152.1
ADM,Archer Daniels Midland Co.,Consumer Defensive,62.51,0.031994881,0.111111111,0.073940924,1.829512359,31610.64749,9.075695517,0.284527583,0.695303275,85.49,50.24
ADP,Automatic Data Processing Inc.,Industrials,244.2,0.022932023,0.12,0.121244147,5.235530919,101715.8523,28.59033991,0.609491376,0.732293726,255.1,193.67
AEP,American Electric Power Company Inc.,Utilities,82.87,0.042476167,0.060240964,0.056042931,3.318050237,43680.66356,19.7820133,0.782559018,0.449289403,89.2,66.29
AES,AES Corp.,Utilities,16.45,0.041945289,0.039783002,0.047927626,0.660254387,11543.52605,46.35954235,1.888059442,1.321980436,24.82,11.19
AFG,American Financial Group Inc,Financial Services,134.13,0.021173488,2.968253968,N/A,2.57640624,10973.90401,12.88016902,0.25635883,0.664271445,133.88,101.04
AFL,Aflac Inc.,Financial Services,84.81,0.023582125,0.19047619,0.13115273,1.745415746,48426.34654,10.39415036,0.224346497,0.546207515,85.66,61.49
AGM,Federal Agricultural Mortgage Corp.,Financial Services,190.03,0.029469031,0.272727273,0.148698355,4.655482172,1927.845423,11.15406001,0.29465077,1.09898903,197.96,119.63
AGO,Assured Guaranty Ltd,Financial Services,89.9,0.013348165,0.107142857,0.114853593,1.143429399,4968.253084,6.777971465,0.09296174,0.697451194,96.27,46.65
AIT,Applied Industrial Technologies Inc.,Industrials,195.09,0.007586242,0.057142857,0.036019682,1.417065227,7625.231803,20.36349211,0.148695197,1.085048139,201.76,121.71
AIZ,Assurant Inc,Financial Services,181.49,0.015868643,0.028571429,0.037137289,2.821401166,9339.341277,14.53593973,0.236100516,0.382208071,183.14,111.78
AJG,Arthur J. Gallagher & Co.,Financial Services,245.58,0.009772783,0.090909091,0.068898725,2.242199549,53818.19397,55.51128826,0.497161763,0.452580354,256.1,183.62
ALB,Albemarle Corp.,Basic Materials,118.35,0.013519223,0,0.017092682,1.593045067,14189.32042,9.01781814,0.1192399,1.921415336,245.42,106.35
ALE,"Allete, Inc.",Utilities,58.52,0.048188653,0.040590406,0.037137289,2.687682314,3370.053334,13.63841899,0.625042399,0.472227147,63.57,48.06
ALL,Allstate Corp (The),Financial Services,168.97,0.021779014,0.033707865,0.129701134,3.555714234,43471.89033,N/A,N/A,0.425256099,167.08,98.51
AMGN,AMGEN Inc.,Healthcare,280.82,0.032048999,0.056338028,0.091849811,8.459466978,148004.7229,22.0343491,0.677299198,0.537226858,324.63,203.55
AMP,Ameriprise Financial Inc,Financial Services,431.51,0.012514194,0.08,0.068347177,5.369936474,43098.11927,16.86154901,0.226484035,1.20085015,437.23,275.36
AMT,American Tower Corp.,Real Estate,195.56,0.034771937,0.08974359,0.135641572,6.369144076,89917.256,60.61973707,2.002875496,0.767701591,219.1,151.83
ANDE,Andersons Inc.,Consumer Defensive,56.62,0.013422819,0.027027027,0.022494395,0.737328072,1907.468844,18.85036904,0.250791861,0.882508454,58.58,34.92
AON,Aon plc.,Financial Services,327.58,0.007509616,N/A,N/A,2.452580049,64801.71682,0,N/A,0.483625207,345.3,284.26
AOS,A.O. Smith Corp.,Industrials,88.04,0.014538846,0.066666667,0.077818068,1.232363161,13639.79905,19.45805838,0.333973756,0.988670382,89.96,62.32
APD,Air Products & Chemicals Inc.,Basic Materials,237.56,0.029802997,0.080246914,0.085715435,6.935021828,52620.88178,22.51353347,0.661107896,0.867940781,303.88,212.24
APH,Amphenol Corp.,Technology,114.22,0.00770443,0.047619048,N/A,0.857270612,68635.39228,35.59926985,0.275649714,1.04586676,115.18,71.34
APOG,Apogee Enterprises Inc.,Industrials,58.77,0.017015484,0.041666667,0.073940924,0.95681397,1315.388437,12.6359373,0.204011508,0.997440199,60.4,35.69
